sex,length,diameter,height,wholeWeight
I,0.525,0.4,0.125,0.5655
M,0.555,0.445,0.13,0.8625
F,0.61,0.49,0.17,1.137
I,0.35,0.26,0.095,0.221
I,0.38,0.275,0.095,0.2425
I,0.46,0.34,0.1,0.386
M,0.465,0.355,0.12,0.5315
M,0.475,0.385,0.12,0.562
M,0.565,0.445,0.14,0.836
M,0.57,0.45,0.14,0.9275
M,0.57,0.44,0.145,0.8815
M,0.595,0.46,0.155,1.03
F,0.605,0.48,0.175,11.685
F,0.615,0.455,0.135,1.059
M,0.62,0.46,0.17,1.127
M,0.625,0.47,0.17,11.665
F,0.68,0.52,0.185,1.541
M,0.68,0.54,0.195,17.825
M,0.68,0.52,0.175,1.543
F,0.71,0.555,0.17,1.47
M,0.5,0.385,0.12,0.6335
F,0.545,0.42,0.175,0.754
F,0.46,0.365,0.115,0.4485
M,0.535,0.41,0.15,0.8105
M,0.335,0.26,0.075,0.22
F,0.425,0.35,0.1,0.4425
M,0.41,0.325,0.1,0.3555
I,0.17,0.105,0.035,0.034
I,0.335,0.25,0.095,0.185
M,0.52,0.425,0.125,0.79
F,0.53,0.41,0.145,0.8255
M,0.5,0.42,0.125,0.62
F,0.615,0.475,0.145,0.9525
M,0.575,0.45,0.16,0.955
M,0.57,0.45,0.155,0.91
M,0.455,0.35,0.105,0.416
I,0.37,0.275,0.085,0.2045
M,0.445,0.37,0.125,0.515
F,0.675,0.535,0.22,1.604
M,0.385,0.3,0.115,0.3435
F,0.375,0.295,0.11,0.3005
M,0.56,0.44,0.13,0.8255
M,0.55,0.41,0.15,0.785
F,0.57,0.465,0.155,0.9685
F,0.485,0.4,0.155,0.731
M,0.41,0.335,0.115,0.4405
I,0.335,0.255,0.085,0.1785
M,0.655,0.515,0.2,1.373
F,0.565,0.45,0.165,0.9765
F,0.57,0.44,0.19,1.018
F,0.55,0.465,0.15,1.082
F,0.63,0.475,0.175,1.423
M,0.475,0.37,0.125,0.655
F,0.655,0.5,0.18,14.155
I,0.32,0.235,0.065,0.1385
M,0.525,0.395,0.165,0.782
F,0.525,0.43,0.165,0.717
F,0.5,0.39,0.13,0.6355
F,0.44,0.34,0.135,0.3975
F,0.49,0.385,0.16,0.656
M,0.545,0.44,0.165,0.744
F,0.45,0.36,0.11,0.447
F,0.515,0.4,0.115,0.578
I,0.33,0.25,0.075,0.1405
F,0.525,0.41,0.15,0.708
M,0.295,0.225,0.09,0.1385
M,0.545,0.45,0.16,0.8615
F,0.645,0.5,0.225,1.626
M,0.45,0.355,0.115,0.478
F,0.61,0.49,0.17,11.775
I,0.38,0.3,0.1,0.286
F,0.565,0.455,0.13,1.058
F,0.67,0.545,0.16,15.415
M,0.54,0.425,0.12,0.817
I,0.29,0.225,0.075,0.152
I,0.41,0.33,0.105,0.335
F,0.46,0.375,0.12,0.4915
F,0.56,0.44,0.155,0.9705
F,0.575,0.45,0.1,0.9315
M,0.62,0.5,0.2,1.221
M,0.515,0.4,0.14,0.7365
F,0.56,0.46,0.18,0.97
F,0.5,0.4,0.15,0.8085
I,0.435,0.355,0.125,0.4075
M,0.495,0.38,0.135,0.6295
F,0.595,0.5,0.18,1.053
M,0.76,0.575,0.19,1.829
F,0.615,0.5,0.165,11.765
F,0.565,0.46,0.15,0.8765
I,0.14,0.105,0.035,0.0145
M,0.445,0.345,0.14,0.476
F,0.525,0.43,0.125,0.813
I,0.16,0.12,0.02,0.018
M,0.635,0.48,0.235,1.064
M,0.575,0.47,0.165,0.853
M,0.38,0.27,0.095,0.219
M,0.245,0.18,0.065,0.0635
I,0.48,0.39,0.15,0.6275
I,0.455,0.365,0.135,0.441
F,0.455,0.375,0.125,0.458
M,0.455,0.355,0.135,0.4745
I,0.355,0.27,0.1,0.216
I,0.52,0.405,0.14,0.6765
I,0.54,0.4,0.145,0.757
I,0.52,0.39,0.14,0.7325
I,0.56,0.445,0.165,10.285
F,0.52,0.41,0.16,0.712
I,0.615,0.46,0.19,1.066
F,0.645,0.49,0.19,13.065
I,0.565,0.43,0.135,0.8545
M,0.295,0.23,0.085,0.125
M,0.375,0.28,0.095,0.2225
I,0.525,0.4,0.14,0.6955
M,0.395,0.28,0.08,0.266
F,0.5,0.4,0.165,0.7105
F,0.47,0.35,0.115,0.487
I,0.58,0.42,0.16,0.728
I,0.5,0.38,0.155,0.6675
I,0.725,0.55,0.22,20.495
F,0.65,0.515,0.215,1.498
F,0.67,0.535,0.185,1.597
I,0.55,0.44,0.165,0.8605
F,0.49,0.37,0.115,0.541
I,0.235,0.18,0.06,0.058
I,0.235,0.175,0.08,0.0645
M,0.52,0.41,0.115,0.77
F,0.475,0.4,0.115,0.541
M,0.53,0.425,0.11,0.739
F,0.35,0.275,0.065,0.205
M,0.555,0.42,0.145,0.8695
M,0.505,0.39,0.105,0.6555
F,0.54,0.44,0.16,10.905
F,0.525,0.4,0.115,0.6295
M,0.55,0.45,0.175,10.985
M,0.55,0.44,0.16,0.991
I,0.235,0.175,0.065,0.0615
M,0.525,0.41,0.165,0.8005
M,0.475,0.365,0.14,0.6175
F,0.53,0.4,0.165,0.772
F,0.525,0.415,0.15,0.7155
F,0.53,0.425,0.13,0.717
F,0.465,0.39,0.11,0.6355
I,0.315,0.235,0.08,0.18
I,0.465,0.355,0.12,0.5805
M,0.485,0.385,0.105,0.556
I,0.49,0.385,0.12,0.591
F,0.515,0.395,0.14,0.686
F,0.555,0.44,0.155,1.016
F,0.61,0.5,0.18,1.438
F,0.68,0.55,0.19,1.807
M,0.69,0.55,0.195,1.777
M,0.695,0.55,0.205,2.173
F,0.72,0.575,0.195,21.505
I,0.27,0.205,0.075,0.118
I,0.27,0.19,0.06,0.099
I,0.295,0.22,0.07,0.1365
I,0.295,0.22,0.065,0.1295
I,0.315,0.23,0.07,0.164
I,0.375,0.29,0.095,0.2875
I,0.38,0.3,0.09,0.277
I,0.385,0.285,0.09,0.248
I,0.4,0.295,0.095,0.252
M,0.415,0.315,0.12,0.4015
I,0.415,0.33,0.1,0.3905
I,0.42,0.32,0.115,0.409
I,0.44,0.33,0.135,0.4095
I,0.45,0.35,0.135,0.494
I,0.475,0.35,0.12,0.4905
M,0.485,0.39,0.12,0.599
M,0.495,0.375,0.115,0.6245
F,0.525,0.41,0.115,0.7745
M,0.565,0.455,0.15,0.9795
I,0.58,0.435,0.15,0.8915
F,0.585,0.45,0.125,0.874
M,0.6,0.465,0.155,1.262
M,0.63,0.48,0.185,1.21
F,0.645,0.525,0.17,1.37
F,0.655,0.545,0.185,1.759
M,0.665,0.515,0.165,13.855
F,0.67,0.52,0.195,18.065
M,0.67,0.51,0.2,15.945
M,0.685,0.51,0.18,14.545
M,0.7,0.6,0.23,2.003
M,0.72,0.6,0.235,22.385
I,0.185,0.135,0.045,0.032
I,0.245,0.175,0.055,0.0785
I,0.315,0.23,0,0.134
I,0.36,0.27,0.09,0.2075
I,0.375,0.28,0.08,0.2235
I,0.415,0.31,0.095,0.34
I,0.455,0.35,0.135,0.5365
I,0.48,0.35,0.105,0.635
I,0.485,0.375,0.125,0.562
I,0.51,0.39,0.125,0.597
M,0.52,0.395,0.125,0.5815
F,0.555,0.43,0.14,0.7545
M,0.585,0.465,0.15,0.98
F,0.585,0.46,0.15,10.035
M,0.585,0.455,0.155,1.133
M,0.61,0.49,0.16,1.146
M,0.61,0.475,0.15,1.142
M,0.615,0.53,0.17,1.12
F,0.62,0.465,0.14,1.011
M,0.625,0.505,0.175,1.131
M,0.625,0.48,0.175,1.065
M,0.635,0.48,0.145,1.181
F,0.64,0.525,0.175,1.382
M,0.66,0.505,0.19,14.385
M,0.66,0.485,0.155,12.275
M,0.66,0.515,0.155,14.415
F,0.68,0.55,0.175,1.473
F,0.69,0.58,0.195,1.658
M,0.72,0.545,0.195,17.475
I,0.275,0.2,0.07,0.096
I,0.33,0.245,0.065,0.1445
I,0.33,0.26,0.085,0.1965
I,0.365,0.28,0.09,0.196
I,0.365,0.27,0.09,0.2155
I,0.42,0.31,0.1,0.2805
I,0.435,0.335,0.11,0.334
I,0.435,0.325,0.1,0.366
I,0.44,0.325,0.11,0.4965
I,0.485,0.365,0.09,0.651
I,0.495,0.385,0.125,0.5125
M,0.51,0.405,0.125,0.6925
I,0.52,0.41,0.14,0.5995
I,0.54,0.42,0.14,0.74
I,0.54,0.415,0.155,0.702
I,0.55,0.445,0.125,0.672
I,0.56,0.44,0.155,0.811
F,0.575,0.45,0.12,0.9585
I,0.575,0.45,0.15,0.858
F,0.575,0.46,0.165,0.9575
F,0.58,0.46,0.135,0.926
F,0.58,0.425,0.155,0.873
M,0.59,0.45,0.16,0.998
M,0.6,0.46,0.155,0.6655
M,0.62,0.485,0.145,1.003
F,0.625,0.495,0.16,1.234
M,0.625,0.495,0.155,1.025
M,0.625,0.495,0.175,12.935
M,0.625,0.5,0.175,10.565
M,0.625,0.47,0.145,17.855
F,0.625,0.485,0.165,12.255
F,0.635,0.5,0.18,12.565
F,0.645,0.5,0.15,1.159
M,0.645,0.51,0.165,1.403
F,0.69,0.535,0.185,1.826
F,0.695,0.56,0.185,17.715
M,0.515,0.39,0.12,0.6125
I,0.545,0.405,0.13,0.658
M,0.62,0.465,0.145,0.911
M,0.63,0.49,0.15,11.955
F,0.63,0.515,0.16,1.336
F,0.64,0.49,0.18,1.36
I,0.37,0.275,0.08,0.2325
I,0.395,0.31,0.085,0.317
I,0.4,0.3,0.115,0.318
I,0.41,0.305,0.1,0.2645
I,0.455,0.335,0.105,0.4055
I,0.48,0.335,0.125,0.524
I,0.485,0.375,0.11,0.464
I,0.5,0.36,0.12,0.439
I,0.515,0.395,0.125,0.5805
I,0.52,0.4,0.14,0.622
M,0.545,0.45,0.15,0.7805
I,0.545,0.43,0.14,0.772
I,0.55,0.435,0.125,0.741
M,0.55,0.43,0.18,0.8265
M,0.55,0.385,0.13,0.7275
I,0.555,0.43,0.125,0.7005
M,0.56,0.45,0.145,0.9355
I,0.565,0.465,0.15,11.815
M,0.57,0.445,0.16,10.145
F,0.575,0.48,0.17,1.1
M,0.585,0.51,0.16,1.218
M,0.59,0.45,0.155,0.874
I,0.595,0.475,0.155,0.984
M,0.6,0.47,0.13,10.105
M,0.61,0.365,0.155,10.765
M,0.615,0.475,0.205,1.337
M,0.625,0.5,0.18,13.705
F,0.625,0.49,0.19,17.015
M,0.63,0.485,0.18,12.435
M,0.63,0.53,0.175,14.135
F,0.635,0.485,0.155,1.073
F,0.635,0.5,0.175,1.477
M,0.635,0.5,0.18,12.915
F,0.65,0.495,0.16,13.105
M,0.67,0.525,0.18,14.915
F,0.675,0.52,0.175,1.494
F,0.675,0.51,0.15,11.965
M,0.68,0.545,0.185,1.672
M,0.7,0.545,0.215,19.125
F,0.71,0.545,0.175,1.907
F,0.715,0.565,0.18,1.79
F,0.72,0.59,0.205,17.495
I,0.42,0.305,0.1,0.3415
I,0.48,0.35,0.1,0.519
M,0.48,0.365,0.13,0.5305
M,0.51,0.41,0.155,12.825
I,0.515,0.4,0.14,0.7165
F,0.56,0.42,0.18,16.645
I,0.56,0.42,0.14,0.837
F,0.57,0.45,0.15,0.9645
F,0.605,0.465,0.155,1.1
M,0.625,0.48,0.16,12.415
F,0.64,0.505,0.175,13.185
M,0.65,0.525,0.185,13.455
I,0.3,0.215,0.05,0.1185
M,0.35,0.265,0.09,0.197
I,0.455,0.35,0.13,0.4725
I,0.46,0.365,0.11,0.4495
I,0.49,0.375,0.115,0.557
I,0.5,0.385,0.12,0.516
I,0.54,0.415,0.135,0.709
M,0.55,0.42,0.145,0.7385
I,0.55,0.445,0.11,0.7935
M,0.555,0.435,0.145,0.9205
I,0.57,0.425,0.14,0.7655
M,0.58,0.45,0.14,0.824
I,0.58,0.425,0.145,0.83
I,0.585,0.47,0.17,0.985
M,0.585,0.45,0.15,0.997
F,0.595,0.455,0.14,0.914
F,0.6,0.5,0.17,1.13
F,0.615,0.495,0.155,10.805
M,0.63,0.505,0.155,1.105
M,0.63,0.49,0.155,1.229
F,0.635,0.495,0.175,12.355
F,0.645,0.535,0.19,12.395
F,0.65,0.505,0.165,1.357
M,0.655,0.525,0.18,1.402
F,0.655,0.5,0.22,1.359
M,0.67,0.535,0.19,1.669
M,0.67,0.525,0.2,17.405
M,0.695,0.53,0.21,1.51
M,0.695,0.55,0.195,16.645
M,0.77,0.605,0.175,20.505
I,0.28,0.215,0.07,0.124
I,0.33,0.23,0.08,0.14
I,0.35,0.25,0.075,0.1695
I,0.37,0.28,0.09,0.218
I,0.43,0.315,0.115,0.384
I,0.435,0.33,0.095,0.393
I,0.44,0.35,0.11,0.3805
M,0.475,0.37,0.11,0.4895
M,0.475,0.36,0.14,0.5135
I,0.48,0.355,0.11,0.4495
F,0.56,0.44,0.135,0.8025
F,0.585,0.475,0.165,1.053
F,0.585,0.455,0.17,0.9945
M,0.385,0.255,0.1,0.3175
I,0.39,0.31,0.085,0.344
I,0.39,0.29,0.1,0.2845
I,0.405,0.3,0.085,0.3035
I,0.475,0.365,0.115,0.499
M,0.5,0.38,0.125,0.577
F,0.515,0.4,0.125,0.615
M,0.52,0.385,0.165,0.791
M,0.55,0.43,0.13,0.8395
M,0.56,0.43,0.155,0.8675
F,0.565,0.45,0.165,0.887
M,0.59,0.44,0.135,0.966
M,0.6,0.475,0.205,1.176
F,0.625,0.485,0.15,10.945
M,0.71,0.555,0.195,19.485
